UnqID,Grid,Station,Gd-St,cobble,gravel,coarsesand,sand3,sand2,sand1,finesand,veryfine,siltclay,Total,UnqID save
2,14,305,14_305,10.15014607,6.676178182,7.550331771,4.78519827,10.71177843,34.17125258,16.64968182,5.369477093,3.935955794,100,
3,14,215,14_215,4.624749606,2.781073144,8.179855695,5.731344445,11.82831249,38.9914234,18.44065423,5.412396196,4.010190786,100,
5,14,204,14_204,8.827628534,4.117173215,6.226904832,5.200168779,10.71232211,37.11465432,18.06185989,5.49680983,4.242478487,100,
6,2,206,2_206,2.254075111,2.968453874,8.928053654,18.35491177,33.45897995,23.81108464,6.421004417,1.859485899,1.943950683,100,
7,14,205,14_205,7.769142883,3.104037285,6.420741847,5.019173991,11.96366557,40.5685456,17.06089298,5.064422348,3.029377496,100,
8,14,402,14_402,4.833751954,3.066762686,5.343122618,4.638785941,11.13238368,42.30411185,19.04343702,5.713733687,3.923910562,100,
9,14,115,14_115,7.623757276,4.378509246,11.81338965,5.00523704,9.594944968,33.23717784,17.34919899,6.337677501,4.660107488,100,
10,14,315,14_315,0.207370437,0.379593343,7.4688505,7.01017521,15.62659262,44.5055621,17.11684797,4.932956083,2.752051737,100,
11,14,207,14_207,6.729344785,4.355193214,6.746773303,2.95607045,11.06323648,40.16595823,17.76934324,5.481269183,4.732811123,100,
14,14,107,14_107,11.69462256,4.273035167,7.536713029,4.448400958,9.528654235,35.81344293,17.37861608,4.962450302,4.364064738,100,
16,14,408,14_408,5.247918206,4.137628053,8.079557481,5.793078659,11.44237874,38.25508717,17.82854404,5.381712163,3.834095493,100,
17,14,201,14_201,12.33255647,4.735248633,6.795757008,5.129489665,10.45936704,34.78251399,16.88048616,5.234039773,3.650541265,100,
19,14,301,14_301,10.37328328,4.623588644,5.249203086,4.251199094,10.02174755,34.85268269,19.36425656,6.938362082,4.325677004,100,
21,14,404,14_404,9.577327886,4.200902146,5.765229409,4.907127561,11.15988032,36.70397764,18.32237292,5.368831918,3.994350197,100,
26,14,414,14_414,4.527227196,3.676121577,8.07568293,5.363602141,11.11020181,39.40455342,18.59665777,5.006792478,4.239160679,100,
33,14,304,14_304,6.125678616,5.253093611,6.930127261,4.773941139,11.055674,36.93430336,18.87596984,5.65751588,4.393696288,100,
37,14,113,14_113,6.513291908,3.66319177,8.755713039,4.933326486,10.6677622,38.73739708,17.92567487,4.834043719,3.969598932,100,
39,14,312,14_312,2.42296504,3.030883659,7.948231114,6.051315996,12.02598896,40.95873469,18.9796025,4.633419847,3.948858193,100,
40,14,310,14_310,6.733331761,3.438598146,8.898375038,6.471545482,12.25442796,38.08872432,16.98544846,4.235749157,2.893799675,100,
41,14,303,14_303,6.748890247,5.289598894,6.998750698,5.199223838,10.80247734,35.63966933,18.68637197,5.869062492,4.765955185,100,
43,14,212,14_212,3.726717723,2.954654902,9.213490128,5.859599522,11.87143678,40.15658739,17.15004738,4.871607662,4.195858512,100,
45,14,111,14_111,9.697231419,3.66904979,8.500871679,4.766246021,9.989923708,36.90481903,17.01773747,4.881403643,4.57271724,100,
51,2,309,2_309,13.31699887,9.244420899,30.90523806,4.052711741,13.84676511,20.90921131,4.966558506,2.079332495,0.678762996,100,
54,2,110,2_110,3.009428682,1.928789771,5.142291299,20.74137857,33.01502562,24.41167607,7.849485513,1.812545744,2.08937874,100,
64,2,109,2_109,2.514461619,2.836155142,4.688993121,17.31382261,35.12222165,26.51527862,6.983886145,2.162860082,1.862321008,100,
71,13,410,13_410,9.559467631,3.413490068,9.138432846,5.463562124,10.36904123,34.55310972,17.00245839,6.572663822,3.927774167,100,
74,2,116,2_116,0.038217047,0.082803603,10.1708302,23.72450604,28.96788494,26.17995134,7.490541281,2.210219238,1.135046306,100,
79,2,108,2_108,3.129730871,1.991401888,4.280188853,16.2088344,33.52455224,28.08087796,7.752227019,2.732169249,2.30001752,100,
80,2,112,2_112,0.117351507,0.369439929,17.7331166,25.52177957,25.6973722,21.80130217,5.988403933,1.914133468,0.857100635,100,
81,2,103,2_103,1.430666251,0.737746644,4.665050867,19.30297758,36.84478449,28.3717149,5.816117979,1.758131548,1.072809743,100,
82,2,101,2_101,0.004564959,0,5.897927508,31.04172373,42.44499224,18.31766031,1.736206214,0.450409325,0.106515719,100,
84,2,104,2_104,3.037828668,2.242578456,5.573536896,13.15012723,28.30195081,32.46547922,9.688888889,3.296352841,2.243256997,100,
85,2,307,2_307,2.092532762,2.272637508,7.769781899,17.41960456,29.40130971,29.78679706,7.137045492,2.417195264,1.703095748,100,
86,2,205,2_205,1.877865768,0.625660481,5.278540509,21.34585539,37.28936466,25.18294489,5.395713673,1.770420187,1.233634446,100,
87,2,105,2_105,0.868987044,0.974262839,6.14847581,20.8704646,33.27269201,28.64609787,6.249134245,1.917127633,1.052757949,100,
88,2,114,2_114,0.181528066,0.156979786,15.38401907,27.64911465,26.21756236,21.96683398,5.84184448,1.767476114,0.834641498,100,
92,2,314,2_314,1.45978891,0.614241118,15.26624052,32.05946187,33.25642931,6.951092612,6.954660324,2.157276646,1.280808681,100,
93,2,304,2_304,0.070211142,0.147545154,8.56982956,33.43271432,50.15212414,3.201221063,3.20732638,0.83642839,0.382599847,100,
94,2,204,2_204,5.322043334,2.484578017,6.70036905,21.64734616,42.18754209,8.354359909,8.359747502,3.015255866,1.92875807,100,
95,14,314,14_314,4.863448194,4.589451112,9.851982011,7.499180987,14.31039104,22.19972005,22.21758942,9.280162016,5.188075171,100,
96,2,107,2_107,2.337508253,3.166113306,9.281142059,23.72336456,36.88440672,9.4514558,9.457196712,3.27232019,2.426492398,100,
97,2,214,2_214,0.114745876,0.234301459,22.93131051,31.66573908,28.10449433,6.679996427,6.684119033,2.197349164,1.387944125,100,
98,2,308,2_308,1.985798752,2.331234522,9.008745556,24.71967613,40.33465233,8.381843603,8.387326711,2.884114524,1.966607876,100,
99,14,306,14_306,3.806215655,3.945893294,5.917921009,41.08360442,7.970814725,13.98246678,13.99349396,6.050247193,3.249342964,100,
100,4,212,4_212,1.693851427,1.233018128,29.5940868,21.32221167,22.82281042,8.942478424,8.947433621,3.29025065,2.153858859,100,
101,4,101,4_101,0.739619244,0.598447106,30.33973382,20.79526971,26.8237292,8.361891707,8.368029626,2.297627694,1.675651898,100,
102,2,303,2_303,0.001042481,0.003127443,6.321605421,37.55225437,51.8457128,1.870211102,1.876465989,0.41490748,0.114672922,100,
103,2,207,2_207,3.155588753,2.020669357,11.88209325,20.48206203,38.39996432,9.123949252,9.127293808,3.32448884,2.483890388,100,
104,14,316,14_316,6.830593281,4.771979986,9.972837741,6.942101501,13.10936383,23.13652609,23.1536812,7.548248749,4.53466762,100,
105,2,106,2_106,3.439797812,2.836592424,8.425023097,20.77011766,39.3144838,9.640596486,9.645177793,3.497064146,2.431146777,100,
106,4,216,4_216,4.494635087,1.919837116,19.32990387,22.27767818,26.89303507,9.899188281,9.904593735,2.949576122,2.331552537,100,
107,2,203,2_203,2.616566474,1.072195643,6.437719468,25.5247338,50.51422208,5.450185802,5.453595009,1.673920702,1.256861029,100,
108,2,306,2_306,0.751461015,3.236047166,9.344753551,31.24906713,34.48224393,8.513496446,8.516940882,2.24232752,1.663662353,100,
109,2,113,2_113,0.253694259,0.225796609,21.47072926,28.80606774,32.36040277,6.984874243,6.990105052,2.095810993,0.812519071,100,
110,2,301,2_301,0,0,5.58453136,41.16158252,48.99324733,1.940752733,1.946900841,0.239776209,0.133209005,100,
111,4,207,4_207,8.97871769,3.49097746,15.64331102,14.95486963,26.18975254,11.4122944,11.41653532,4.344107606,3.569434333,100,
112,4,309,4_309,3.165940805,2.689538708,23.86276775,21.31721625,23.73300151,9.823126833,9.833792552,3.078837437,2.495778153,100,
116,2,404,2_404,0.302728663,0.665489959,6.119736883,28.49343746,37.76103933,22.19565507,3.253050376,0.719878498,0.488983755,100,
117,2,402,2_402,0.002332062,0.001749047,2.99028696,36.59938667,40.59887361,17.76098693,1.793355954,0.191812129,0.061216637,100,
118,14,313,14_313,3.637274093,1.905130423,10.9459644,8.767697,12.69176492,35.27108845,17.87681522,5.806436928,3.097828561,100,
119,2,315,2_315,0.707033855,0.529017324,10.84139545,24.86318517,28.41470932,24.68705574,6.88288651,1.847471914,1.227244707,100,
120,14,103,14_103,7.716416611,4.853594126,7.204213703,5.281639049,10.0177022,35.45372762,18.55538466,6.795031777,4.122290258,100,
121,4,314,4_314,4.717877095,1.166201117,17.99581006,16.41340782,20.25698324,25.10055866,9.357541899,2.051675978,2.939944134,100,
122,2,407,2_407,2.481207311,1.795798832,5.652592819,18.72114321,34.40206815,27.14064944,6.631815927,1.809154043,1.365570267,100,
126,2,408,2_408,4.772363526,3.297974794,6.584171107,16.87024963,31.77903569,24.93920225,7.845161469,2.193568949,1.718272582,100,
127,2,310,2_310,5.320177648,1.982617356,10.54597252,21.18748589,30.98129136,21.55343629,5.252430501,1.852913417,1.323675022,100,
128,4,208,4_208,4.62036057,1.75495651,20.1234619,17.97706967,22.51583186,21.38764553,7.583327913,2.316684504,1.720661538,100,
129,2,415,2_415,0.808209767,0.49552888,18.01052728,20.98153668,31.98703835,19.8173684,5.003435162,1.715958086,1.180397397,100,
130,2,409,2_409,3.05728402,1.781399288,7.549693127,40.37674895,22.57845122,16.96416602,4.997923663,1.570168756,1.124164969,100,
131,2,102,2_102,0.001623574,0.008117871,5.043633559,26.24426675,43.00442424,18.79043715,6.374964484,0.422129318,0.110403052,100,
132,2,410,2_410,1.020988959,0.827255597,10.99790358,34.07974885,26.16991264,18.78259087,5.48357332,1.554816289,1.083209893,100,
133,2,302,2_302,0.001835553,0.009177764,6.85120091,27.46262356,42.69587643,20.41593627,1.977808166,0.453381547,0.132159803,100,
134,2,401,2_401,0.001685722,0.001685722,4.085769553,43.39681483,36.04959395,14.1756607,1.936473553,0.270558438,0.081757534,100,
135,4,311,4_311,2.413519338,1.560621527,23.47056822,17.99478281,19.70057843,23.32539412,7.211069525,2.631280481,1.692185551,100,
136,4,204,4_204,2.204028329,1.522929328,17.47651816,15.54573309,21.85242855,26.87729168,9.536390577,2.995630117,1.989050178,100,
137,2,405,2_405,1.212864841,3.971382039,10.59403013,16.8093004,34.78247437,22.8700937,5.930591294,2.146788424,1.682474809,100,
138,2,311,2_311,1.452956239,0.778108654,11.39887456,26.72636339,29.36838647,20.73200624,6.327608776,1.961960291,1.253735391,100,
140,2,413,2_413,2.249534532,1.701346991,13.13739087,20.15790422,28.06621931,24.40908768,6.256654418,2.438451752,1.583410229,100,
141,4,211,4_211,1.765081414,1.501301362,23.78019264,18.49477,19.40958167,22.34904555,8.138596774,2.737419586,1.824011,100,
142,2,201,2_201,0.002123582,0.005308955,4.480226799,33.8982061,43.14852862,15.89235564,1.911754556,0.475682333,0.185813411,100,
143,4,411,4_411,1.900970002,1.030505299,28.7116732,17.36830806,17.87965728,20.9477526,8.050822648,2.498194664,1.612116244,100,
144,14,208,14_208,4.857159215,4.035037499,6.688040305,5.105627755,11.01849201,38.40041221,17.66416671,7.589168146,4.641896147,100,
145,4,202,4_202,1.485109269,0.886132814,21.86880654,14.65290195,21.79305363,26.82269416,8.404168171,2.603785884,1.483347574,100,
146,2,115,2_115,0.871546899,0.985170791,12.56125038,22.8713274,27.76490184,23.60600915,6.908461752,2.619805419,1.811526369,100,
147,4,110,4_110,2.247539633,1.976050807,18.61540699,17.69040578,22.19518107,24.05487953,8.279439569,2.838997431,2.10209919,100,
148,4,112,4_112,5.459261394,1.981143728,20.0823418,16.18592779,18.70229322,23.65268228,8.080200914,3.338136605,2.518012269,100,
149,4,306,4_306,6.171171961,3.978458786,17.22770888,12.76509902,16.80670795,25.23374322,10.85656147,4.059150631,2.901398074,100,
150,4,107,4_107,6.728704366,2.557719634,12.55889486,12.55675809,18.83246616,29.15308924,10.32596502,4.185942158,3.100460475,100,
151,4,210,4_210,5.731950342,2.095612312,19.0076825,16.55294308,20.53854983,22.25672659,8.35921161,3.081451437,2.375872292,100,
152,4,308,4_308,2.658743175,0.82579251,17.26639526,15.30224392,21.27959251,29.305987,8.796233769,2.963591812,1.601420054,100,
153,4,302,4_302,4.240826615,1.797156106,27.41721345,14.0289777,16.54191761,22.09501453,8.926131881,2.89392161,2.058840507,100,
157,2,416,2_416,1.516126164,2.553200391,14.09333145,18.78814503,28.62858308,22.70842159,6.879311337,2.865420922,1.967460031,100,
158,2,412,2_412,0.460494345,0.663799459,11.59863934,42.66333004,18.01679994,19.05349073,5.234362862,1.542804817,0.766278459,100,
159,4,209,4_209,2.59199096,2.259104927,20.74440285,16.25491442,21.80144549,24.61802858,6.825340773,2.746427478,2.158344516,100,
160,4,414,4_414,0.62574293,0.708726759,24.02942562,18.23177159,19.9721892,24.03615404,8.598918967,2.25402023,1.543050665,100,
161,4,305,4_305,7.089595849,3.183656296,17.21792384,12.91461163,17.23896122,26.10270915,9.611743531,3.835814965,2.804983521,100,
162,4,113,4_113,3.093388973,1.61353889,16.57122986,16.79146864,22.66913952,24.52841853,8.940921912,3.362312121,2.429581546,100,
163,2,406,2_406,0.91764263,1.035564894,8.209233275,24.47828041,39.24199415,19.13067861,4.804467986,1.602129515,0.580008527,100,
164,4,103,4_103,3.665128023,1.961573362,10.97881406,12.08742652,22.82952618,30.51011954,11.22973133,4.154337791,2.583343196,100,
165,2,305,2_305,0.515102048,2.268478969,6.967833611,17.36545179,34.63701799,28.8837764,5.96977053,2.115386242,1.277182417,100,
166,4,214,4_214,2.069697287,1.294254816,17.04246118,16.28799329,22.14483563,26.16701933,9.079524494,3.530514926,2.383699052,100,
167,4,301,4_301,0.006401912,0.128038241,42.18006445,13.10898188,15.23441668,19.86086511,6.167175263,2.234267301,1.079789164,100,
168,2,209,2_209,1.655567962,1.48286194,5.611740796,19.62502711,33.65839552,26.44811991,7.370932372,2.542393304,1.604961081,100,
169,4,412,4_412,2.479535409,1.046518542,23.12251006,18.20506214,20.14349989,23.65567954,7.151210037,2.5905298,1.605454581,100,
170,2,202,2_202,0.002568172,0.002054538,4.601137187,42.92083353,35.89226004,14.47473175,1.777175113,0.222403706,0.106835961,100,
171,4,316,4_316,0.60157728,0.629211572,16.44452947,18.25351274,22.72601662,26.78613184,8.545373382,3.564823672,2.448823417,100,
172,4,203,4_203,3.37671469,0.997214911,17.01845053,18.07503324,22.64936337,26.16218627,7.799889472,2.536810773,1.384336749,100,
173,4,109,4_109,2.824044369,1.900275109,19.51781178,15.37535268,20.17614021,26.29885825,8.50641189,3.182653178,2.218452533,100,
174,4,401,4_401,1.77830357,0.653484311,33.139917,15.64794472,15.86952848,21.01477851,7.060635082,3.224231499,1.611176835,100,
175,4,310,4_310,4.396528732,1.862831586,18.4929118,15.95100835,18.83142195,25.02308024,9.117206573,3.719508442,2.605502329,100,
176,4,206,4_206,4.898404615,1.665021047,17.27589253,14.8781375,19.2454399,26.51457673,9.443433976,3.790469262,2.288624435,100,
177,4,415,4_415,1.321310365,1.438586432,21.23478669,19.32448985,21.04453884,23.82789086,7.406635219,2.645226864,1.756534883,100,
178,14,302,14_302,8.152067957,3.570533352,8.65617602,6.024230609,10.17407046,32.74474307,18.73276702,7.884695725,4.060715778,100,
179,4,416,4_416,0.711698706,0.699035028,15.71815718,18.64346681,22.76676038,27.63467822,8.783527088,3.138059418,1.904617177,100,
180,4,213,4_213,3.008838108,1.070599746,22.55536958,17.0139647,19.24734574,23.61707461,8.154024048,3.366243764,1.966539715,100,
181,4,105,4_105,1.833956193,1.999938902,16.45774569,14.31015346,19.71528365,29.12029164,10.21761046,3.758540981,2.586479028,100,
182,4,407,4_407,2.535022031,3.212740313,20.26436941,16.50431724,18.49597913,24.24571733,9.171919148,3.250281559,2.31965383,100,
